order_id,customer_name,product,quantity,unit_price,order_date,region,total_price,customer_tier
1,Diana,Tablet,,500.0,2024-01-20,South,,
2,Eve,Laptop,,500.0,2024-04-29,North,,
3,Charlie,Laptop,2.0,250.0,2024-01-08,,500.0,Medium
4,Eve,Laptop,2.0,750.0,2024-01-07,West,1500.0,VIP
5,Eve,Tablet,3.0,500.0,2024-03-07,South,1500.0,VIP
4,Eve,Laptop,2.0,750.0,2024-01-07,West,1500.0,VIP
7,Charlie,Monitor,2.0,750.0,2024-02-02,West,1500.0,VIP
8,Charlie,Laptop,3.0,500.0,2024-02-17,,1500.0,VIP
9,Charlie,Monitor,,750.0,2024-03-16,West,,
10,Eve,Monitor,1.0,500.0,2024-02-28,North,500.0,Medium
11,,Monitor,3.0,750.0,2024-04-24,West,2250.0,VIP
12,Charlie,Tablet,2.0,750.0,2024-03-26,East,1500.0,VIP
13,Frank,Tablet,1.0,750.0,2024-04-28,West,750.0,High
14,Eve,Tablet,1.0,500.0,2024-01-22,South,500.0,Medium
15,Bob,Laptop,1.0,500.0,2024-04-19,South,500.0,Medium
16,Diana,Monitor,3.0,750.0,,East,2250.0,VIP
17,Frank,Tablet,2.0,500.0,2024-02-07,North,1000.0,High
18,Frank,Tablet,1.0,250.0,2024-04-11,South,250.0,Medium
19,Bob,Laptop,,250.0,2024-04-18,,,
20,Diana,Tablet,1.0,500.0,2024-02-20,South,500.0,Medium
21,Eve,Laptop,1.0,500.0,2024-02-23,South,500.0,Medium
22,Alice,Phone,3.0,750.0,2024-01-08,North,2250.0,VIP
23,Diana,Tablet,3.0,500.0,2024-01-27,West,1500.0,VIP
24,Bob,Phone,2.0,500.0,2024-01-27,South,1000.0,High
25,Frank,Laptop,,250.0,2024-04-07,East,,
26,Eve,Monitor,3.0,750.0,2024-01-21,West,2250.0,VIP
27,Diana,Tablet,1.0,500.0,2024-01-30,,500.0,Medium
28,Alice,Laptop,2.0,250.0,2024-04-06,North,500.0,Medium
29,Alice,Monitor,1.0,250.0,2024-01-28,,250.0,Medium
30,Charlie,Monitor,1.0,500.0,2024-04-20,West,500.0,Medium
31,Charlie,Phone,3.0,750.0,2024-03-04,West,2250.0,VIP
32,Bob,Laptop,2.0,750.0,2024-04-06,West,1500.0,VIP
33,Diana,Monitor,,500.0,2024-03-09,,,
34,Diana,Tablet,,500.0,2024-03-01,West,,
35,Frank,Tablet,3.0,750.0,2024-02-17,,2250.0,VIP
36,Frank,Phone,3.0,750.0,2024-01-19,West,2250.0,VIP
37,Frank,Monitor,2.0,500.0,2024-01-04,East,1000.0,High
38,Charlie,Laptop,,500.0,2024-02-04,West,,
39,Diana,Tablet,,500.0,2024-03-04,,,
40,Diana,Monitor,,500.0,2024-02-18,South,,
41,Alice,Monitor,1.0,250.0,2024-01-17,West,250.0,Medium
42,Charlie,Phone,,500.0,2024-02-13,South,,
43,Eve,Tablet,1.0,500.0,2024-04-01,East,500.0,Medium
44,Charlie,Tablet,2.0,250.0,2024-01-30,North,500.0,Medium
45,Eve,Laptop,1.0,500.0,2024-04-02,East,500.0,Medium
46,Alice,Tablet,2.0,250.0,2024-02-15,West,500.0,Medium
47,Bob,Laptop,,500.0,2024-04-26,South,,
48,Diana,Tablet,,500.0,2024-01-06,South,,
49,Alice,Phone,2.0,500.0,2024-04-08,,1000.0,High
50,Diana,Tablet,3.0,250.0,2024-04-14,South,750.0,High
51,Frank,Laptop,2.0,250.0,2024-02-06,,500.0,Medium
52,Bob,Laptop,3.0,500.0,2024-01-24,North,1500.0,VIP
53,Bob,Phone,1.0,750.0,2024-04-02,West,750.0,High
54,Alice,Tablet,1.0,750.0,2024-04-22,,750.0,High
55,Bob,Tablet,1.0,250.0,2024-02-15,North,250.0,Medium
56,Eve,Phone,,250.0,2024-02-22,South,,
57,Bob,Tablet,1.0,750.0,2024-04-04,South,750.0,High
58,Diana,Tablet,3.0,750.0,2024-04-08,North,2250.0,VIP
59,Diana,Laptop,1.0,500.0,2024-02-29,South,500.0,Medium
60,Diana,Tablet,2.0,500.0,2024-04-06,North,1000.0,High
61,Diana,Tablet,2.0,750.0,2024-04-25,,1500.0,VIP
62,Eve,Phone,,500.0,2024-03-03,,,
63,Charlie,Phone,2.0,500.0,2024-03-25,North,1000.0,High
64,Frank,Monitor,3.0,500.0,2024-02-01,,1500.0,VIP
65,Alice,Laptop,1.0,500.0,2024-03-27,,500.0,Medium
66,Diana,Tablet,,250.0,2024-02-02,,,
67,Bob,Tablet,1.0,500.0,2024-03-07,East,500.0,Medium
68,Diana,Monitor,1.0,500.0,2024-01-18,West,500.0,Medium
69,Bob,Tablet,3.0,750.0,2024-01-25,South,2250.0,VIP
70,Frank,Laptop,2.0,250.0,2024-04-15,East,500.0,Medium
71,Frank,Monitor,2.0,500.0,2024-04-04,,1000.0,High
72,Frank,Laptop,1.0,500.0,2024-02-23,North,500.0,Medium
73,Bob,Monitor,,500.0,2024-02-27,,,
74,Diana,Monitor,2.0,500.0,2024-03-07,West,1000.0,High
75,Frank,Phone,,500.0,2024-04-13,,,
76,Eve,Laptop,2.0,500.0,2024-02-15,North,1000.0,High
77,Bob,Tablet,,750.0,2024-01-24,West,,
